"ParticipantNum","groupSize","NumAgents","RT"
1,"SmallGroup",1,1.54590917647059
2,"SmallGroup",1,1.04051456
3,"SmallGroup",1,1.97639566666667
4,"SmallGroup",1,2.2165645483871
5,"SmallGroup",1,0.90232428
6,"SmallGroup",1,1.18488973333333
7,"SmallGroup",1,0.690747684210526
8,"SmallGroup",1,1.02271746875
9,"SmallGroup",1,0.988839342857143
10,"SmallGroup",1,0.707594970588235
11,"SmallGroup",1,1.45431642
12,"SmallGroup",1,1.17203927586207
13,"SmallGroup",1,1.12159362162162
14,"SmallGroup",1,1.39239719444444
15,"SmallGroup",1,0.965816545454545
16,"SmallGroup",1,1.08402313513514
17,"SmallGroup",1,0.902180454545454
18,"SmallGroup",1,1.32683487878788
19,"SmallGroup",1,1.22779186666667
20,"SmallGroup",1,0.809164966666667
21,"SmallGroup",1,1.03969997222222
22,"SmallGroup",1,1.5856446
23,"SmallGroup",1,1.98719386842105
24,"SmallGroup",1,1.49924884615385
25,"SmallGroup",1,1.07549846666667
26,"SmallGroup",1,1.2280539375
27,"SmallGroup",1,1.19423676470588
28,"SmallGroup",1,1.08870814285714
29,"SmallGroup",1,1.918291125
30,"SmallGroup",1,0.855987151515151
31,"SmallGroup",1,0.846457088235294
32,"SmallGroup",1,0.934495
33,"SmallGroup",1,0.820998756756757
34,"SmallGroup",1,1.52745674074074
35,"SmallGroup",1,0.864410423076923
36,"SmallGroup",1,1.69937540540541
37,"SmallGroup",1,1.52221925
38,"SmallGroup",1,1.15128295238095
39,"SmallGroup",1,1.25570290625
40,"SmallGroup",1,1.5445475
41,"SmallGroup",1,2.02683142857143
42,"SmallGroup",1,1.36289135483871
43,"SmallGroup",1,1.0248851875
44,"SmallGroup",1,0.923052641025641
45,"SmallGroup",1,0.970767909090909
46,"SmallGroup",1,0.663592066666667
47,"SmallGroup",1,1.86211515151515
48,"SmallGroup",1,0.974032419354839
49,"SmallGroup",1,1.41713892857143
50,"SmallGroup",1,0.783301214285714
51,"SmallGroup",1,1.25767865384615
52,"SmallGroup",1,1.971156125
53,"SmallGroup",1,1.17146747058824
54,"SmallGroup",1,0.876131121212121
55,"SmallGroup",1,1.3872529
56,"SmallGroup",1,1.21240238235294
57,"SmallGroup",1,0.732120035714286
58,"SmallGroup",1,2.0197525625
59,"SmallGroup",1,0.878797078947368
60,"SmallGroup",1,0.663706083333333
61,"SmallGroup",1,1.47568991891892
62,"SmallGroup",1,1.48522685714286
63,"SmallGroup",1,1.30560005
64,"SmallGroup",1,1.56734810810811
65,"SmallGroup",1,0.761285851851852
66,"SmallGroup",1,0.944241131578947
67,"SmallGroup",1,2.03134436363636
68,"SmallGroup",1,2.05352
69,"SmallGroup",1,1.07287720833333
70,"SmallGroup",1,1.13711676
71,"SmallGroup",1,0.986712041666667
72,"SmallGroup",1,1.90450968421053
73,"SmallGroup",1,1.01894776
74,"SmallGroup",1,0.946867147058824
75,"SmallGroup",1,1.23165464516129
76,"SmallGroup",1,1.86537036363636
77,"SmallGroup",1,2.14832222222222
78,"SmallGroup",1,1.79884906666667
79,"SmallGroup",1,2.3826244516129
80,"SmallGroup",1,1.37678568571429
81,"SmallGroup",1,1.1656130952381
82,"SmallGroup",1,1.72433729166667
83,"SmallGroup",1,1.53651694117647
84,"SmallGroup",1,2.23739053125
85,"SmallGroup",1,2.35190112195122
86,"SmallGroup",1,0.77433578125
87,"SmallGroup",1,0.749306483870968
88,"SmallGroup",1,1.06875103030303
89,"SmallGroup",1,2.00488458823529
90,"SmallGroup",1,1.17378925925926
91,"SmallGroup",1,1.671463025
92,"SmallGroup",1,1.06587388888889
93,"SmallGroup",1,1.63326912
94,"SmallGroup",1,1.26519332258065
95,"SmallGroup",1,1.00982828571429
96,"SmallGroup",1,0.683788078947368
97,"SmallGroup",1,0.717358
98,"SmallGroup",1,2.05351260714286
99,"SmallGroup",1,1.23843055263158
100,"SmallGroup",1,1.51149194594595
101,"SmallGroup",1,1.4179092972973
102,"SmallGroup",1,1.37584274193548
103,"SmallGroup",1,0.735499315789474
104,"SmallGroup",1,0.83270424137931
105,"SmallGroup",1,0.667559161290323
106,"SmallGroup",1,1.07130945454545
107,"SmallGroup",1,1.29483858333333
108,"SmallGroup",1,1.28757865625
109,"SmallGroup",1,1.119499125
110,"SmallGroup",1,1.60903178571429
111,"SmallGroup",1,1.230879
112,"SmallGroup",1,0.649594625
113,"SmallGroup",1,1.333561
114,"SmallGroup",1,1.12737342424242
115,"SmallGroup",1,0.856280296296296
116,"SmallGroup",1,0.8836565
117,"SmallGroup",1,1.27364621621622
118,"SmallGroup",1,1.83764210714286
119,"SmallGroup",1,1.225963625
120,"SmallGroup",1,1.02302125
121,"SmallGroup",1,1.66465090625
122,"SmallGroup",1,1.04292221052632
123,"SmallGroup",1,1.60212134375
124,"SmallGroup",1,1.01136771875
125,"SmallGroup",1,1.80808654545455
126,"SmallGroup",1,1.08439163157895
127,"SmallGroup",1,1.3287974137931
128,"SmallGroup",1,2.01945958823529
129,"SmallGroup",1,1.3465857027027
130,"SmallGroup",1,1.85936923809524
131,"SmallGroup",1,0.894449
132,"SmallGroup",1,1.40104118181818
133,"SmallGroup",1,1.30031261290323
134,"SmallGroup",1,0.827787107142857
135,"SmallGroup",1,1.54139965853659
136,"SmallGroup",1,1.4790475952381
137,"SmallGroup",1,0.841274086956522
138,"SmallGroup",1,1.34264825641026
139,"SmallGroup",1,0.999318818181818
140,"SmallGroup",1,1.34476251612903
141,"SmallGroup",1,1.94679209677419
142,"SmallGroup",1,1.06436266666667
143,"SmallGroup",1,1.97080076666667
144,"SmallGroup",1,1.28192984
145,"SmallGroup",1,0.766562258064516
146,"SmallGroup",1,2.12830813333333
147,"SmallGroup",1,1.53681987179487
148,"SmallGroup",1,1.00683208695652
149,"SmallGroup",1,0.762373515151515
150,"SmallGroup",1,1.93194163333333
151,"SmallGroup",1,1.31166651724138
152,"SmallGroup",1,0.834768487179487
153,"SmallGroup",1,0.81588608
154,"SmallGroup",1,1.08602172413793
1,"SmallGroup",2,1.51565655172414
2,"SmallGroup",2,0.892889083333333
3,"SmallGroup",2,2.18450324
4,"SmallGroup",2,2.03863524137931
5,"SmallGroup",2,0.94749175
6,"SmallGroup",2,1.278729225
7,"SmallGroup",2,1.05149747058824
8,"SmallGroup",2,0.968971291666667
9,"SmallGroup",2,1.00853220833333
10,"SmallGroup",2,0.700286928571429
11,"SmallGroup",2,1.37564326923077
12,"SmallGroup",2,1.28506111764706
13,"SmallGroup",2,1.12648288888889
14,"SmallGroup",2,1.37373618518519
15,"SmallGroup",2,0.87648637037037
16,"SmallGroup",2,1.02567475862069
17,"SmallGroup",2,0.900970488372093
18,"SmallGroup",2,1.18830827272727
19,"SmallGroup",2,1.06443523529412
20,"SmallGroup",2,0.84033332
21,"SmallGroup",2,1.09666355882353
22,"SmallGroup",2,1.44475306666667
23,"SmallGroup",2,1.72861184615385
24,"SmallGroup",2,1.27549533333333
25,"SmallGroup",2,1.2204036
26,"SmallGroup",2,1.256895
27,"SmallGroup",2,1.19731654166667
28,"SmallGroup",2,1.0769435952381
29,"SmallGroup",2,1.77626045
30,"SmallGroup",2,0.77896864
31,"SmallGroup",2,0.925514766666667
32,"SmallGroup",2,0.892590617647059
33,"SmallGroup",2,0.847848743589744
34,"SmallGroup",2,1.44542166666667
35,"SmallGroup",2,0.889390342857143
36,"SmallGroup",2,1.80256526923077
37,"SmallGroup",2,1.48291586046512
38,"SmallGroup",2,1.25555048484848
39,"SmallGroup",2,1.18798358974359
40,"SmallGroup",2,1.51102634482759
41,"SmallGroup",2,2.14518448648649
42,"SmallGroup",2,1.43720955172414
43,"SmallGroup",2,1.08106581818182
44,"SmallGroup",2,1.02673228
45,"SmallGroup",2,0.841739575757576
46,"SmallGroup",2,0.692481346153846
47,"SmallGroup",2,2.06015183333333
48,"SmallGroup",2,0.984211571428571
49,"SmallGroup",2,1.31398305405405
50,"SmallGroup",2,0.703014259259259
51,"SmallGroup",2,1.38969193939394
52,"SmallGroup",2,1.96660334285714
53,"SmallGroup",2,1.29269327027027
54,"SmallGroup",2,0.962027512820513
55,"SmallGroup",2,1.23355729411765
56,"SmallGroup",2,1.00623284
57,"SmallGroup",2,0.671242517241379
58,"SmallGroup",2,2.05412339393939
59,"SmallGroup",2,0.97026634375
60,"SmallGroup",2,0.659147875
61,"SmallGroup",2,1.49319540540541
62,"SmallGroup",2,1.22898574074074
63,"SmallGroup",2,1.36752526666667
64,"SmallGroup",2,1.76482696296296
65,"SmallGroup",2,0.795225888888889
66,"SmallGroup",2,0.905649115384615
67,"SmallGroup",2,1.82106145945946
68,"SmallGroup",2,1.77410016666667
69,"SmallGroup",2,0.912318580645161
70,"SmallGroup",2,0.813212741935484
71,"SmallGroup",2,0.959746258064516
72,"SmallGroup",2,2.236472
73,"SmallGroup",2,1.06934929268293
74,"SmallGroup",2,0.875509344827586
75,"SmallGroup",2,1.12000515625
76,"SmallGroup",2,2.02659096969697
77,"SmallGroup",2,2.3305256969697
78,"SmallGroup",2,1.80988694444444
79,"SmallGroup",2,1.90354465217391
80,"SmallGroup",2,1.32009173529412
81,"SmallGroup",2,0.868224210526316
82,"SmallGroup",2,1.70973948571429
83,"SmallGroup",2,1.50291625
84,"SmallGroup",2,2.12979133333333
85,"SmallGroup",2,2.07648790322581
86,"SmallGroup",2,0.835810333333333
87,"SmallGroup",2,0.716507608695652
88,"SmallGroup",2,1.07988854545455
89,"SmallGroup",2,1.91886084615385
90,"SmallGroup",2,1.12362541176471
91,"SmallGroup",2,1.43667605555556
92,"SmallGroup",2,0.981611
93,"SmallGroup",2,1.54493316666667
94,"SmallGroup",2,0.98641059375
95,"SmallGroup",2,0.9623536
96,"SmallGroup",2,0.720819333333333
97,"SmallGroup",2,0.716827866666667
98,"SmallGroup",2,1.774004
99,"SmallGroup",2,1.31739093333333
100,"SmallGroup",2,1.55673954545455
101,"SmallGroup",2,1.48213555172414
102,"SmallGroup",2,1.33841306896552
103,"SmallGroup",2,0.796734076923077
104,"SmallGroup",2,0.820880962962963
105,"SmallGroup",2,0.672135086956522
106,"SmallGroup",2,1.02983967567568
107,"SmallGroup",2,1.1713044
108,"SmallGroup",2,1.22000974074074
109,"SmallGroup",2,1.04032727777778
110,"SmallGroup",2,1.63751370967742
111,"SmallGroup",2,1.55732455172414
112,"SmallGroup",2,0.756957913043478
113,"SmallGroup",2,1.27437113157895
114,"SmallGroup",2,1.25748904
115,"SmallGroup",2,0.783643846153846
116,"SmallGroup",2,0.852442217391304
117,"SmallGroup",2,1.3301454137931
118,"SmallGroup",2,1.62698971428571
119,"SmallGroup",2,1.06666207692308
120,"SmallGroup",2,1.00138432
121,"SmallGroup",2,1.61000274285714
122,"SmallGroup",2,0.886531566666667
123,"SmallGroup",2,1.7214164
124,"SmallGroup",2,0.909747846153846
125,"SmallGroup",2,1.81307834375
126,"SmallGroup",2,1.26834403225806
127,"SmallGroup",2,1.5753666
128,"SmallGroup",2,1.7422115
129,"SmallGroup",2,1.37929612903226
130,"SmallGroup",2,1.49930711764706
131,"SmallGroup",2,0.883842290322581
132,"SmallGroup",2,1.30196638235294
133,"SmallGroup",2,1.40687148484848
134,"SmallGroup",2,0.768737804878049
135,"SmallGroup",2,1.49695372727273
136,"SmallGroup",2,1.43239837931034
137,"SmallGroup",2,0.812076484848485
138,"SmallGroup",2,1.34986740909091
139,"SmallGroup",2,1.05753764285714
140,"SmallGroup",2,1.29326260714286
141,"SmallGroup",2,1.73795376923077
142,"SmallGroup",2,1.05438041935484
143,"SmallGroup",2,1.84221018181818
144,"SmallGroup",2,1.34320825
145,"SmallGroup",2,0.815988242424242
146,"SmallGroup",2,1.9315348
147,"SmallGroup",2,1.54561811111111
148,"SmallGroup",2,0.980779085714286
149,"SmallGroup",2,0.730883833333333
150,"SmallGroup",2,2.05782254545455
151,"SmallGroup",2,1.73787564516129
152,"SmallGroup",2,0.798089525
153,"SmallGroup",2,0.866734741935484
154,"SmallGroup",2,1.07418655263158
1,"SmallGroup",3,1.41486042857143
2,"SmallGroup",3,0.845587657142857
3,"SmallGroup",3,2.12360047222222
4,"SmallGroup",3,1.8562285862069
5,"SmallGroup",3,0.9169845625
6,"SmallGroup",3,1.19452969565217
7,"SmallGroup",3,0.680053727272727
8,"SmallGroup",3,1.12635321875
9,"SmallGroup",3,1.01037003225806
10,"SmallGroup",3,0.691714380952381
11,"SmallGroup",3,1.33327164285714
12,"SmallGroup",3,1.2157349
13,"SmallGroup",3,1.1764095
14,"SmallGroup",3,1.36765306451613
15,"SmallGroup",3,0.98470703030303
16,"SmallGroup",3,1.07623880769231
17,"SmallGroup",3,0.885443625
18,"SmallGroup",3,1.24263203333333
19,"SmallGroup",3,1.00660538461538
20,"SmallGroup",3,0.914265741935484
21,"SmallGroup",3,1.05262456666667
22,"SmallGroup",3,1.62993996875
23,"SmallGroup",3,1.70744535714286
24,"SmallGroup",3,1.36628985365854
25,"SmallGroup",3,1.09418459259259
26,"SmallGroup",3,1.19005775
27,"SmallGroup",3,1.15569937142857
28,"SmallGroup",3,1.08834381818182
