"ParticipantNum","density","NumAgents","RT"
1,"LowDensity",1,1.09831443243243
2,"LowDensity",1,1.0220835
3,"LowDensity",1,1.46587724444444
4,"LowDensity",1,1.59304988571429
5,"LowDensity",1,1.37514242222222
6,"LowDensity",1,3.47964293939394
7,"LowDensity",1,1.8405639
8,"LowDensity",1,1.10489832692308
9,"LowDensity",1,0.97834625
10,"LowDensity",1,1.63187666666667
1,"LowDensity",2,1.02074116666667
2,"LowDensity",2,1.02309108108108
3,"LowDensity",2,1.46322375675676
4,"LowDensity",2,1.6354593125
5,"LowDensity",2,1.36606155263158
6,"LowDensity",2,3.13837683333333
7,"LowDensity",2,1.88261718
8,"LowDensity",2,0.976247844444444
9,"LowDensity",2,1.02865076923077
10,"LowDensity",2,1.6974272195122
1,"LowDensity",3,1.05911904761905
2,"LowDensity",3,1.02251791111111
3,"LowDensity",3,1.49127564705882
4,"LowDensity",3,1.70223267391304
5,"LowDensity",3,1.28010561363636
6,"LowDensity",3,3.05685425490196
7,"LowDensity",3,1.641311675
8,"LowDensity",3,1.08641674074074
9,"LowDensity",3,0.910782806451613
10,"LowDensity",3,1.53923044736842
1,"HighDensity",1,0.927456147058824
2,"HighDensity",1,1.07259194444444
3,"HighDensity",1,1.67721951282051
4,"HighDensity",1,1.737442075
5,"HighDensity",1,1.57273202173913
6,"HighDensity",1,3.41880390243902
7,"HighDensity",1,1.47752180434783
8,"HighDensity",1,0.873574930232558
9,"HighDensity",1,0.89796253125
10,"HighDensity",1,1.50220434883721
1,"HighDensity",2,0.9452065
2,"HighDensity",2,1.07669405405405
3,"HighDensity",2,1.29809336538462
4,"HighDensity",2,1.69634755319149
5,"HighDensity",2,1.35660225714286
6,"HighDensity",2,3.79421635294118
7,"HighDensity",2,1.55830226666667
8,"HighDensity",2,0.847117276595745
9,"HighDensity",2,0.9823462
10,"HighDensity",2,1.39915917647059
1,"HighDensity",3,0.94676112244898
2,"HighDensity",3,1.04898076190476
3,"HighDensity",3,1.4076828
4,"HighDensity",3,1.70073856666667
5,"HighDensity",3,1.17268515151515
6,"HighDensity",3,3.422082
7,"HighDensity",3,1.63153535
8,"HighDensity",3,0.850463810810811
9,"HighDensity",3,1.1066139047619
10,"HighDensity",3,1.45643860526316
