"ParticipantNum","density","NumAgents","FollowPercentage"
1,"LowDensity",2,39.3939393939394
2,"LowDensity",2,52.6315789473684
3,"LowDensity",2,87.5
4,"LowDensity",2,62.5
5,"LowDensity",2,64.7058823529412
6,"LowDensity",2,66.6666666666667
7,"LowDensity",2,68.5714285714286
8,"LowDensity",2,60
9,"LowDensity",2,58.3333333333333
10,"LowDensity",2,55.1724137931034
11,"LowDensity",2,100
12,"LowDensity",2,42.8571428571429
13,"LowDensity",2,52.6315789473684
14,"LowDensity",2,50
15,"LowDensity",2,87.5
16,"LowDensity",2,40.5405405405405
17,"LowDensity",2,60.8695652173913
18,"LowDensity",2,50
19,"LowDensity",2,46.1538461538462
20,"LowDensity",2,70.8333333333333
21,"LowDensity",2,50
22,"LowDensity",2,42.8571428571429
23,"LowDensity",2,50
24,"LowDensity",2,40.9090909090909
25,"LowDensity",2,68.5714285714286
26,"LowDensity",2,52.3809523809524
27,"LowDensity",2,100
28,"LowDensity",2,57.1428571428571
29,"LowDensity",2,46.1538461538462
30,"LowDensity",2,57.6923076923077
31,"LowDensity",2,83.3333333333333
32,"LowDensity",2,72.4137931034483
33,"LowDensity",2,66.6666666666667
34,"LowDensity",2,51.5151515151515
35,"LowDensity",2,45.1612903225806
36,"LowDensity",2,50
37,"LowDensity",2,47.2222222222222
38,"LowDensity",2,62.5
39,"LowDensity",2,43.9024390243902
40,"LowDensity",2,34.2857142857143
41,"LowDensity",2,37.1428571428571
42,"LowDensity",2,75.7575757575758
43,"LowDensity",2,72
44,"LowDensity",2,57.8947368421053
45,"LowDensity",2,44.4444444444444
46,"LowDensity",2,34.2857142857143
47,"LowDensity",2,54.5454545454545
48,"LowDensity",2,45.945945945946
49,"LowDensity",2,64.2857142857143
50,"LowDensity",2,47.3684210526316
51,"LowDensity",2,37.1428571428571
52,"LowDensity",2,46.1538461538462
53,"LowDensity",2,94.2857142857143
54,"LowDensity",2,51.6129032258064
55,"LowDensity",2,37.5
56,"LowDensity",2,61.5384615384615
57,"LowDensity",2,53.3333333333333
58,"LowDensity",2,52
59,"LowDensity",2,39.3939393939394
60,"LowDensity",2,40
61,"LowDensity",2,40.5405405405405
62,"LowDensity",2,57.8947368421053
63,"LowDensity",2,43.2432432432432
64,"LowDensity",2,50
65,"LowDensity",2,63.4146341463415
66,"LowDensity",2,88.2352941176471
67,"LowDensity",2,48.2758620689655
68,"LowDensity",2,56.25
69,"LowDensity",2,38.2352941176471
70,"LowDensity",2,52.9411764705882
71,"LowDensity",2,47.0588235294118
72,"LowDensity",2,33.3333333333333
73,"LowDensity",2,44
74,"LowDensity",2,64.2857142857143
75,"LowDensity",2,76.6666666666667
76,"LowDensity",2,54.5454545454545
77,"LowDensity",2,80.5555555555556
78,"LowDensity",2,56.0975609756098
79,"LowDensity",2,43.2432432432432
80,"LowDensity",2,56.25
81,"LowDensity",2,72
82,"LowDensity",2,54.5454545454545
83,"LowDensity",2,50
84,"LowDensity",2,72.4137931034483
85,"LowDensity",2,53.8461538461538
86,"LowDensity",2,51.6129032258064
87,"LowDensity",2,81.25
88,"LowDensity",2,86.6666666666667
89,"LowDensity",2,42.3076923076923
90,"LowDensity",2,50
91,"LowDensity",2,52.9411764705882
92,"LowDensity",2,50
93,"LowDensity",2,50
94,"LowDensity",2,50
95,"LowDensity",2,40.625
96,"LowDensity",2,50
97,"LowDensity",2,54.5454545454545
98,"LowDensity",2,100
99,"LowDensity",2,63.3333333333333
100,"LowDensity",2,54.5454545454545
101,"LowDensity",2,92.3076923076923
102,"LowDensity",2,52.7777777777778
103,"LowDensity",2,40
104,"LowDensity",2,58.3333333333333
105,"LowDensity",2,51.1627906976744
106,"LowDensity",2,63.1578947368421
107,"LowDensity",2,65.5172413793103
108,"LowDensity",2,52.7777777777778
109,"LowDensity",2,43.2432432432432
110,"LowDensity",2,41.9354838709677
111,"LowDensity",2,37.5
112,"LowDensity",2,67.741935483871
113,"LowDensity",2,53.3333333333333
114,"LowDensity",2,59.4594594594595
115,"LowDensity",2,54.1666666666667
116,"LowDensity",2,53.4883720930233
117,"LowDensity",2,51.8518518518518
118,"LowDensity",2,42.8571428571429
119,"LowDensity",2,55.5555555555556
120,"LowDensity",2,60.6060606060606
121,"LowDensity",2,40
122,"LowDensity",2,44.1176470588235
123,"LowDensity",2,64.2857142857143
124,"LowDensity",2,75.8620689655172
125,"LowDensity",2,59.0909090909091
126,"LowDensity",2,50
127,"LowDensity",2,57.5
128,"LowDensity",2,61.7647058823529
129,"LowDensity",2,39.3939393939394
130,"LowDensity",2,62.962962962963
131,"LowDensity",2,48.6486486486487
132,"LowDensity",2,36
133,"LowDensity",2,69.6969696969697
134,"LowDensity",2,90.625
135,"LowDensity",2,50
136,"LowDensity",2,52.6315789473684
137,"LowDensity",2,62.5
138,"LowDensity",2,54.8387096774194
139,"LowDensity",2,46.6666666666667
140,"LowDensity",2,56
141,"LowDensity",2,58.0645161290323
142,"LowDensity",2,56.25
143,"LowDensity",2,52.7777777777778
144,"LowDensity",2,62.0689655172414
145,"LowDensity",2,44.1176470588235
146,"LowDensity",2,50
147,"LowDensity",2,100
148,"LowDensity",2,47.0588235294118
149,"LowDensity",2,60
150,"LowDensity",2,59.375
151,"LowDensity",2,46.6666666666667
152,"LowDensity",2,73.6842105263158
153,"LowDensity",2,76
154,"LowDensity",2,66.6666666666667
1,"LowDensity",3,50
2,"LowDensity",3,53.8461538461538
3,"LowDensity",3,78.0487804878049
4,"LowDensity",3,79.4871794871795
5,"LowDensity",3,47.2222222222222
6,"LowDensity",3,59.375
7,"LowDensity",3,48.2758620689655
8,"LowDensity",3,60.5263157894737
9,"LowDensity",3,60
10,"LowDensity",3,37.8378378378378
11,"LowDensity",3,96.6666666666667
12,"LowDensity",3,45.1612903225806
13,"LowDensity",3,56
14,"LowDensity",3,60.8695652173913
15,"LowDensity",3,93.8775510204082
16,"LowDensity",3,44.8275862068966
17,"LowDensity",3,59.4594594594595
18,"LowDensity",3,66.6666666666667
19,"LowDensity",3,51.8518518518518
20,"LowDensity",3,68.4210526315789
21,"LowDensity",3,53.8461538461538
22,"LowDensity",3,47.0588235294118
23,"LowDensity",3,53.3333333333333
24,"LowDensity",3,47.0588235294118
25,"LowDensity",3,77.7777777777778
26,"LowDensity",3,61.7647058823529
27,"LowDensity",3,91.1111111111111
28,"LowDensity",3,75.6756756756757
29,"LowDensity",3,45.4545454545455
30,"LowDensity",3,55.2631578947368
31,"LowDensity",3,82.3529411764706
32,"LowDensity",3,62.8571428571429
33,"LowDensity",3,52
34,"LowDensity",3,46.6666666666667
35,"LowDensity",3,57.6923076923077
36,"LowDensity",3,44.4444444444444
37,"LowDensity",3,51.8518518518518
38,"LowDensity",3,53.8461538461538
39,"LowDensity",3,37.2093023255814
40,"LowDensity",3,47.2222222222222
41,"LowDensity",3,60
42,"LowDensity",3,58.0645161290323
43,"LowDensity",3,63.6363636363636
44,"LowDensity",3,62.962962962963
45,"LowDensity",3,72.2222222222222
46,"LowDensity",3,62.5
47,"LowDensity",3,53.125
48,"LowDensity",3,35.7142857142857
49,"LowDensity",3,76.9230769230769
50,"LowDensity",3,64.5161290322581
51,"LowDensity",3,41.1764705882353
52,"LowDensity",3,68.9655172413793
53,"LowDensity",3,100
54,"LowDensity",3,55.5555555555556
55,"LowDensity",3,55.8823529411765
56,"LowDensity",3,46.6666666666667
57,"LowDensity",3,68.75
58,"LowDensity",3,55.5555555555556
59,"LowDensity",3,39.3939393939394
60,"LowDensity",3,34.2105263157895
61,"LowDensity",3,38.2352941176471
62,"LowDensity",3,60
63,"LowDensity",3,50
64,"LowDensity",3,48.3870967741936
65,"LowDensity",3,60
66,"LowDensity",3,92.5
67,"LowDensity",3,39.2857142857143
68,"LowDensity",3,51.4285714285714
69,"LowDensity",3,37.9310344827586
70,"LowDensity",3,47.0588235294118
71,"LowDensity",3,44.4444444444444
72,"LowDensity",3,60.5263157894737
73,"LowDensity",3,52.6315789473684
74,"LowDensity",3,45
75,"LowDensity",3,37.037037037037
76,"LowDensity",3,44.8275862068966
77,"LowDensity",3,64.5161290322581
78,"LowDensity",3,42.3076923076923
79,"LowDensity",3,55.1724137931034
80,"LowDensity",3,48.2758620689655
81,"LowDensity",3,55.5555555555556
82,"LowDensity",3,45.4545454545455
83,"LowDensity",3,86.2068965517241
84,"LowDensity",3,84.7826086956522
85,"LowDensity",3,35.7142857142857
86,"LowDensity",3,48.5714285714286
87,"LowDensity",3,88.2352941176471
88,"LowDensity",3,56.6666666666667
89,"LowDensity",3,67.741935483871
90,"LowDensity",3,66.6666666666667
91,"LowDensity",3,50
92,"LowDensity",3,56.8181818181818
93,"LowDensity",3,52.3809523809524
94,"LowDensity",3,44.4444444444444
95,"LowDensity",3,58.0645161290323
96,"LowDensity",3,50
97,"LowDensity",3,37.9310344827586
98,"LowDensity",3,100
99,"LowDensity",3,51.2820512820513
100,"LowDensity",3,59.375
101,"LowDensity",3,100
102,"LowDensity",3,58.0645161290323
103,"LowDensity",3,46.875
104,"LowDensity",3,53.125
105,"LowDensity",3,50
106,"LowDensity",3,80.7692307692308
107,"LowDensity",3,71.875
108,"LowDensity",3,47.2222222222222
109,"LowDensity",3,30.4347826086957
110,"LowDensity",3,48.2758620689655
111,"LowDensity",3,46.1538461538462
112,"LowDensity",3,45.1612903225806
113,"LowDensity",3,52.3809523809524
114,"LowDensity",3,51.3513513513513
115,"LowDensity",3,51.8518518518518
116,"LowDensity",3,56.6666666666667
117,"LowDensity",3,40.625
118,"LowDensity",3,62.0689655172414
119,"LowDensity",3,47.3684210526316
120,"LowDensity",3,52
121,"LowDensity",3,52.1739130434783
122,"LowDensity",3,58.3333333333333
123,"LowDensity",3,54.8387096774194
124,"LowDensity",3,60
125,"LowDensity",3,61.2903225806452
126,"LowDensity",3,40.7407407407407
127,"LowDensity",3,62.962962962963
128,"LowDensity",3,44.1176470588235
129,"LowDensity",3,43.3333333333333
130,"LowDensity",3,56.25
131,"LowDensity",3,61.2903225806452
132,"LowDensity",3,50
133,"LowDensity",3,41.3793103448276
134,"LowDensity",3,100
135,"LowDensity",3,58.3333333333333
136,"LowDensity",3,47.8260869565217
137,"LowDensity",3,41.6666666666667
138,"LowDensity",3,53.125
139,"LowDensity",3,42.8571428571429
140,"LowDensity",3,67.6470588235294
141,"LowDensity",3,48.4848484848485
142,"LowDensity",3,75.7575757575758
143,"LowDensity",3,57.8947368421053
144,"LowDensity",3,48.780487804878
145,"LowDensity",3,55.1724137931034
146,"LowDensity",3,48
147,"LowDensity",3,100
148,"LowDensity",3,55.2631578947368
