"ParticipantNum","density","NumAgents","RT"
150,"LowDensity",1,0.952422166666667
151,"LowDensity",1,0.754712259259259
152,"LowDensity",1,0.898058657142857
153,"LowDensity",1,1.42059133333333
154,"LowDensity",1,1.10611272413793
1,"LowDensity",2,1.39286845454545
2,"LowDensity",2,1.10377418421053
3,"LowDensity",2,1.21608216666667
4,"LowDensity",2,1.3412876875
5,"LowDensity",2,0.852359558823529
6,"LowDensity",2,1.20540963888889
7,"LowDensity",2,1.10273962857143
8,"LowDensity",2,1.179475
9,"LowDensity",2,1.44162752777778
10,"LowDensity",2,1.21404444827586
11,"LowDensity",2,1.49490133333333
12,"LowDensity",2,1.4879085
13,"LowDensity",2,1.18007789473684
14,"LowDensity",2,0.823022475
15,"LowDensity",2,1.22466283333333
16,"LowDensity",2,0.814743459459459
17,"LowDensity",2,1.07556686956522
18,"LowDensity",2,0.9571990625
19,"LowDensity",2,1.15925174358974
20,"LowDensity",2,1.6133645
21,"LowDensity",2,1.01970794736842
22,"LowDensity",2,1.19328532142857
23,"LowDensity",2,1.29595721428571
24,"LowDensity",2,0.832450181818182
25,"LowDensity",2,1.47502102857143
26,"LowDensity",2,1.48632961904762
27,"LowDensity",2,1.84692917391304
28,"LowDensity",2,1.41500937142857
29,"LowDensity",2,0.938854538461538
30,"LowDensity",2,0.674325769230769
31,"LowDensity",2,1.57207741666667
32,"LowDensity",2,1.36779786206897
33,"LowDensity",2,1.84347445454545
34,"LowDensity",2,0.767160181818182
35,"LowDensity",2,1.40730725806452
36,"LowDensity",2,1.57570607894737
37,"LowDensity",2,1.53909555555556
38,"LowDensity",2,0.6067581875
39,"LowDensity",2,0.894980780487805
40,"LowDensity",2,2.17108157142857
41,"LowDensity",2,1.12582657142857
42,"LowDensity",2,1.55632481818182
43,"LowDensity",2,1.29624028
44,"LowDensity",2,1.02411407894737
45,"LowDensity",2,0.849380962962963
46,"LowDensity",2,0.765176828571429
47,"LowDensity",2,1.571697
48,"LowDensity",2,0.963922486486486
49,"LowDensity",2,1.40235242857143
50,"LowDensity",2,2.03700339473684
51,"LowDensity",2,1.07926202857143
52,"LowDensity",2,1.45938343589744
53,"LowDensity",2,1.83194065714286
54,"LowDensity",2,0.838043161290323
55,"LowDensity",2,0.86734584375
56,"LowDensity",2,0.866591179487179
57,"LowDensity",2,2.32029223333333
58,"LowDensity",2,1.58877572
59,"LowDensity",2,0.978669090909091
60,"LowDensity",2,1.12365716666667
61,"LowDensity",2,0.660957972972973
62,"LowDensity",2,1.16664205263158
63,"LowDensity",2,0.710026945945946
64,"LowDensity",2,1.02139284375
65,"LowDensity",2,1.6309293902439
66,"LowDensity",2,1.34833658823529
67,"LowDensity",2,0.874088689655172
68,"LowDensity",2,1.10863215625
69,"LowDensity",2,1.824156
70,"LowDensity",2,1.002217
71,"LowDensity",2,1.16937608823529
72,"LowDensity",2,1.51855014814815
73,"LowDensity",2,0.9928858
