"ParticipantNum","groupSize","NumAgents","FollowPercentage"
148,"SmallGroup",1,52.1739130434783
149,"SmallGroup",1,75.7575757575758
150,"SmallGroup",1,66.6666666666667
151,"SmallGroup",1,27.5862068965517
152,"SmallGroup",1,35.8974358974359
153,"SmallGroup",1,48
154,"SmallGroup",1,51.7241379310345
1,"SmallGroup",2,82.7586206896552
2,"SmallGroup",2,37.5
3,"SmallGroup",2,72
4,"SmallGroup",2,51.7241379310345
5,"SmallGroup",2,29.5454545454545
6,"SmallGroup",2,45
7,"SmallGroup",2,35.2941176470588
8,"SmallGroup",2,58.3333333333333
9,"SmallGroup",2,54.1666666666667
10,"SmallGroup",2,46.4285714285714
11,"SmallGroup",2,61.5384615384615
12,"SmallGroup",2,35.2941176470588
13,"SmallGroup",2,51.8518518518518
14,"SmallGroup",2,96.2962962962963
15,"SmallGroup",2,48.1481481481481
16,"SmallGroup",2,65.5172413793103
17,"SmallGroup",2,46.5116279069767
18,"SmallGroup",2,54.5454545454545
19,"SmallGroup",2,50
20,"SmallGroup",2,56
21,"SmallGroup",2,44.1176470588235
22,"SmallGroup",2,70
23,"SmallGroup",2,50
24,"SmallGroup",2,100
25,"SmallGroup",2,73.3333333333333
26,"SmallGroup",2,48.3870967741936
27,"SmallGroup",2,66.6666666666667
28,"SmallGroup",2,61.9047619047619
29,"SmallGroup",2,52.5
30,"SmallGroup",2,52
31,"SmallGroup",2,53.3333333333333
32,"SmallGroup",2,55.8823529411765
33,"SmallGroup",2,58.974358974359
34,"SmallGroup",2,39.3939393939394
35,"SmallGroup",2,45.7142857142857
36,"SmallGroup",2,46.1538461538462
37,"SmallGroup",2,58.1395348837209
38,"SmallGroup",2,57.5757575757576
39,"SmallGroup",2,56.4102564102564
40,"SmallGroup",2,58.6206896551724
41,"SmallGroup",2,48.6486486486487
42,"SmallGroup",2,41.3793103448276
43,"SmallGroup",2,63.6363636363636
44,"SmallGroup",2,44
45,"SmallGroup",2,51.5151515151515
46,"SmallGroup",2,38.4615384615385
47,"SmallGroup",2,44.4444444444444
48,"SmallGroup",2,42.8571428571429
49,"SmallGroup",2,48.6486486486487
50,"SmallGroup",2,59.2592592592593
51,"SmallGroup",2,39.3939393939394
52,"SmallGroup",2,82.8571428571429
53,"SmallGroup",2,78.3783783783784
54,"SmallGroup",2,58.974358974359
55,"SmallGroup",2,61.7647058823529
56,"SmallGroup",2,40
57,"SmallGroup",2,51.7241379310345
58,"SmallGroup",2,45.4545454545455
59,"SmallGroup",2,59.375
60,"SmallGroup",2,70.8333333333333
61,"SmallGroup",2,72.972972972973
62,"SmallGroup",2,29.6296296296296
63,"SmallGroup",2,70
64,"SmallGroup",2,74.0740740740741
65,"SmallGroup",2,33.3333333333333
66,"SmallGroup",2,42.3076923076923
67,"SmallGroup",2,94.5945945945946
68,"SmallGroup",2,95.2380952380952
69,"SmallGroup",2,41.9354838709677
70,"SmallGroup",2,51.6129032258064
71,"SmallGroup",2,54.8387096774194
72,"SmallGroup",2,38.0952380952381
73,"SmallGroup",2,60.9756097560976
74,"SmallGroup",2,41.3793103448276
75,"SmallGroup",2,28.125
76,"SmallGroup",2,84.8484848484848
77,"SmallGroup",2,84.8484848484848
78,"SmallGroup",2,94.4444444444444
79,"SmallGroup",2,43.4782608695652
80,"SmallGroup",2,44.1176470588235
81,"SmallGroup",2,57.8947368421053
82,"SmallGroup",2,34.2857142857143
83,"SmallGroup",2,100
84,"SmallGroup",2,45.8333333333333
85,"SmallGroup",2,70.9677419354839
86,"SmallGroup",2,50
87,"SmallGroup",2,60.8695652173913
88,"SmallGroup",2,51.5151515151515
89,"SmallGroup",2,82.051282051282
90,"SmallGroup",2,61.7647058823529
91,"SmallGroup",2,44.4444444444444
92,"SmallGroup",2,57.1428571428571
93,"SmallGroup",2,63.3333333333333
94,"SmallGroup",2,62.5
95,"SmallGroup",2,48
96,"SmallGroup",2,61.9047619047619
97,"SmallGroup",2,36.6666666666667
98,"SmallGroup",2,93.75
99,"SmallGroup",2,56.6666666666667
100,"SmallGroup",2,36.3636363636364
101,"SmallGroup",2,37.9310344827586
102,"SmallGroup",2,62.0689655172414
103,"SmallGroup",2,57.6923076923077
104,"SmallGroup",2,51.8518518518518
105,"SmallGroup",2,52.1739130434783
106,"SmallGroup",2,40.5405405405405
107,"SmallGroup",2,60
108,"SmallGroup",2,81.4814814814815
109,"SmallGroup",2,50
110,"SmallGroup",2,51.6129032258064
111,"SmallGroup",2,34.4827586206897
112,"SmallGroup",2,43.4782608695652
113,"SmallGroup",2,73.6842105263158
114,"SmallGroup",2,56
115,"SmallGroup",2,76.9230769230769
116,"SmallGroup",2,60.8695652173913
117,"SmallGroup",2,93.1034482758621
118,"SmallGroup",2,57.1428571428571
119,"SmallGroup",2,53.8461538461538
120,"SmallGroup",2,44
121,"SmallGroup",2,48.5714285714286
122,"SmallGroup",2,60
123,"SmallGroup",2,51.4285714285714
124,"SmallGroup",2,41.025641025641
125,"SmallGroup",2,96.875
126,"SmallGroup",2,67.741935483871
127,"SmallGroup",2,62.8571428571429
128,"SmallGroup",2,100
129,"SmallGroup",2,45.1612903225806
130,"SmallGroup",2,35.2941176470588
131,"SmallGroup",2,61.2903225806452
132,"SmallGroup",2,47.0588235294118
133,"SmallGroup",2,75.7575757575758
134,"SmallGroup",2,48.780487804878
135,"SmallGroup",2,59.0909090909091
136,"SmallGroup",2,41.3793103448276
137,"SmallGroup",2,48.4848484848485
138,"SmallGroup",2,54.5454545454545
139,"SmallGroup",2,60.7142857142857
140,"SmallGroup",2,64.2857142857143
141,"SmallGroup",2,76.9230769230769
142,"SmallGroup",2,67.741935483871
143,"SmallGroup",2,48.4848484848485
144,"SmallGroup",2,97.2222222222222
145,"SmallGroup",2,60.6060606060606
146,"SmallGroup",2,93.3333333333333
147,"SmallGroup",2,62.962962962963
148,"SmallGroup",2,48.5714285714286
149,"SmallGroup",2,46.6666666666667
150,"SmallGroup",2,72.7272727272727
151,"SmallGroup",2,41.9354838709677
152,"SmallGroup",2,55
153,"SmallGroup",2,38.7096774193548
154,"SmallGroup",2,47.3684210526316
1,"SmallGroup",3,71.4285714285714
2,"SmallGroup",3,48.5714285714286
3,"SmallGroup",3,72.2222222222222
4,"SmallGroup",3,44.8275862068966
5,"SmallGroup",3,46.875
6,"SmallGroup",3,43.4782608695652
7,"SmallGroup",3,54.5454545454545
8,"SmallGroup",3,53.125
9,"SmallGroup",3,48.3870967741936
10,"SmallGroup",3,57.1428571428571
11,"SmallGroup",3,53.5714285714286
12,"SmallGroup",3,50
13,"SmallGroup",3,50
14,"SmallGroup",3,100
15,"SmallGroup",3,42.4242424242424
16,"SmallGroup",3,53.8461538461538
17,"SmallGroup",3,43.75
18,"SmallGroup",3,53.3333333333333
19,"SmallGroup",3,50
20,"SmallGroup",3,64.5161290322581
21,"SmallGroup",3,60
22,"SmallGroup",3,56.25
23,"SmallGroup",3,57.1428571428571
24,"SmallGroup",3,92.6829268292683
25,"SmallGroup",3,74.0740740740741
26,"SmallGroup",3,53.125
27,"SmallGroup",3,51.4285714285714
28,"SmallGroup",3,48.4848484848485
29,"SmallGroup",3,59.375
30,"SmallGroup",3,58.6206896551724
31,"SmallGroup",3,50
32,"SmallGroup",3,60.8695652173913
33,"SmallGroup",3,50
34,"SmallGroup",3,38.8888888888889
35,"SmallGroup",3,39.3939393939394
36,"SmallGroup",3,44.4444444444444
37,"SmallGroup",3,55.8823529411765
38,"SmallGroup",3,52
39,"SmallGroup",3,45.4545454545455
40,"SmallGroup",3,65.3846153846154
41,"SmallGroup",3,35.4838709677419
42,"SmallGroup",3,58.3333333333333
43,"SmallGroup",3,46.875
44,"SmallGroup",3,69.2307692307692
45,"SmallGroup",3,43.4782608695652
46,"SmallGroup",3,64.8648648648649
47,"SmallGroup",3,51.8518518518518
48,"SmallGroup",3,50
49,"SmallGroup",3,46.4285714285714
50,"SmallGroup",3,44.8275862068966
51,"SmallGroup",3,44.4444444444444
52,"SmallGroup",3,88.8888888888889
